DateTime,E.91,E.8A,BTH,E.66A,E.87,WY,RE
29/07/2025 05:00,123.875473022,114.618087769,112.240905762,113.733078003,145.349502563,111.176383972,253.177719116
29/07/2025 06:00,124.393859863,114.999359131,112.523414612,118.352073669,145.608703613,122.316055298,253.345932007
29/07/2025 07:00,124.915969849,115.389511108,113.060249329,113.491203308,145.864456177,110.716003418,253.5078125
29/07/2025 08:00,125.430923462,115.794219971,113.705543518,117.964584351,146.115890503,121.546951294,253.808288574
29/07/2025 09:00,125.9375,116.209686279,114.303497314,117.412612915,146.362442017,121.12802124,253.92175293
29/07/2025 10:00,126.443901062,116.631492615,114.432670593,117.566574097,146.603683472,120.867927551,254.239761353
29/07/2025 11:00,126.941978455,117.065414429,114.522209167,117.651123047,146.839187622,120.778320312,254.460830688
29/07/2025 12:00,127.436096191,117.506065369,114.65864563,117.71786499,147.068634033,120.677734375,254.715316772
29/07/2025 13:00,127.919876099,117.950965881,115.209350586,116.883110046,147.291687012,120.265274048,254.972763062
29/07/2025 14:00,128.396499634,118.394271851,115.716926575,121.354919434,147.508148193,120.000282288,255.226760864
29/07/2025 15:00,128.863449097,118.851860046,116.47026062,117.926574707,147.717803955,119.614761353,255.467849731
29/07/2025 16:00,129.325836182,119.318244934,117.094024658,120.331031799,147.920516968,118.969665527,255.842071533
29/07/2025 17:00,129.776290894,119.786178589,117.236434937,120.502456665,148.116210938,118.656463623,256.037780762
29/07/2025 18:00,130.217208862,120.262283325,117.330223083,120.553955078,148.304779053,118.530136108,256.410400391
29/07/2025 19:00,130.650924683,120.743423462,117.491012573,120.22101593,148.486206055,118.116844177,256.721923828
29/07/2025 20:00,131.074752808,121.222969055,119.078193665,124.099838257,148.660446167,128.073348999,257.043151855
29/07/2025 21:00,131.4894104,121.701919556,118.225158691,119.796730042,148.827453613,127.333587646,257.357727051
29/07/2025 22:00,131.893890381,122.182365417,119.635940552,122.918991089,148.987243652,126.78175354,257.733428955
29/07/2025 23:00,132.290634155,122.673019409,119.808441162,123.147239685,149.139846802,126.461486816,258.026763916
30/07/2025 00:00,132.674179077,123.161598206,119.930656433,123.195632935,149.285354614,126.174217224,258.413452148
